--- Events ---
LAST SEEN   TYPE      REASON                OBJECT                                                               MESSAGE
72m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-fc7df578-xbq5d      Container image "registry.redhat.io/openshift4/ose-kube-rbac-proxy-rhel9@sha256:b473bb5efee9fb78c1e654ef94da9213e29a8eccfda2e8359b7c1b6b4049b554" already present on machine
72m         Normal    Started               pod/openshift-gitops-operator-controller-manager-fc7df578-xbq5d      Started container manager
72m         Normal    Created               pod/openshift-gitops-operator-controller-manager-fc7df578-xbq5d      Created container: manager
72m         Normal    Created               pod/openshift-gitops-operator-controller-manager-fc7df578-xbq5d      Created container: kube-rbac-proxy
72m         Normal    AddedInterface        pod/openshift-gitops-operator-controller-manager-fc7df578-xbq5d      Add eth0 [10.133.0.26/23] from ovn-kubernetes
72m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-757f6ff866-8bv8x    Stopping container kube-rbac-proxy
72m         Normal    SuccessfulDelete      replicaset/openshift-gitops-operator-controller-manager-757f6ff866   Deleted pod: openshift-gitops-operator-controller-manager-757f6ff866-8bv8x
72m         Normal    ScalingReplicaSet     deployment/openshift-gitops-operator-controller-manager              Scaled down replica set openshift-gitops-operator-controller-manager-757f6ff866 from 1 to 0
72m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-757f6ff866-8bv8x    Stopping container manager
72m         Normal    LeaderElection        lease/2b63967d.openshift.io                                          openshift-gitops-operator-controller-manager-fc7df578-xbq5d_35f22180-3a08-4f8f-b341-5783ed6990dd became leader
55m         Normal    SuccessfulCreate      replicaset/openshift-gitops-operator-controller-manager-7fdfd5944c   Created pod: openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2
55m         Normal    ComponentUnhealthy    clusterserviceversion/openshift-gitops-operator.v1.20.3              installing: deployment changed old hash=9dqogK5esbgOqnGMc38hYuEid9VPVtrmrPaQQw, new hash=rkvcllbTfQrYzLx8AZtgXAeKYDIvzxim8pQ9O
55m         Normal    Created               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2    Created container: kube-rbac-proxy
55m         Normal    Created               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2    Created container: manager
55m         Normal    AddedInterface        pod/openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2    Add eth0 [10.133.0.47/23] from ovn-kubernetes
55m         Normal    Started               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2    Started container kube-rbac-proxy
55m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2    Container image "registry.redhat.io/openshift4/ose-kube-rbac-proxy-rhel9@sha256:b473bb5efee9fb78c1e654ef94da9213e29a8eccfda2e8359b7c1b6b4049b554" already present on machine
55m         Normal    Started               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2    Started container manager
55m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2    Container image "registry.redhat.io/openshift-gitops-1/gitops-rhel9-operator@sha256:73b844f2dd5f2e2749c66024801ed59539aa363aa18052018b8b80ede0ea544e" already present on machine
55m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-fc7df578-xbq5d      Stopping container manager
55m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-fc7df578-xbq5d      Stopping container kube-rbac-proxy
55m         Normal    SuccessfulDelete      replicaset/openshift-gitops-operator-controller-manager-fc7df578     Deleted pod: openshift-gitops-operator-controller-manager-fc7df578-xbq5d
54m         Normal    LeaderElection        lease/2b63967d.openshift.io                                          openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2_94ffb5b2-0faf-43dc-9c39-80c6994c259e became leader
54m         Normal    SuccessfulCreate      replicaset/openshift-gitops-operator-controller-manager-fc7df578     Created pod: openshift-gitops-operator-controller-manager-fc7df578-wmwr5
54m         Normal    Started               pod/openshift-gitops-operator-controller-manager-fc7df578-wmwr5      Started container kube-rbac-proxy
54m         Normal    AddedInterface        pod/openshift-gitops-operator-controller-manager-fc7df578-wmwr5      Add eth0 [10.133.0.51/23] from ovn-kubernetes
54m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-fc7df578-wmwr5      Container image "registry.redhat.io/openshift-gitops-1/gitops-rhel9-operator@sha256:73b844f2dd5f2e2749c66024801ed59539aa363aa18052018b8b80ede0ea544e" already present on machine
54m         Normal    Created               pod/openshift-gitops-operator-controller-manager-fc7df578-wmwr5      Created container: manager
54m         Normal    Started               pod/openshift-gitops-operator-controller-manager-fc7df578-wmwr5      Started container manager
54m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-fc7df578-wmwr5      Container image "registry.redhat.io/openshift4/ose-kube-rbac-proxy-rhel9@sha256:b473bb5efee9fb78c1e654ef94da9213e29a8eccfda2e8359b7c1b6b4049b554" already present on machine
54m         Normal    Created               pod/openshift-gitops-operator-controller-manager-fc7df578-wmwr5      Created container: kube-rbac-proxy
54m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2    Stopping container manager
54m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2    Stopping container kube-rbac-proxy
54m         Normal    SuccessfulDelete      replicaset/openshift-gitops-operator-controller-manager-7fdfd5944c   Deleted pod: openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2
54m         Normal    Created               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz    Created container: kube-rbac-proxy
54m         Normal    Started               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz    Started container kube-rbac-proxy
54m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz    Container image "registry.redhat.io/openshift4/ose-kube-rbac-proxy-rhel9@sha256:b473bb5efee9fb78c1e654ef94da9213e29a8eccfda2e8359b7c1b6b4049b554" already present on machine
54m         Normal    Started               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz    Started container manager
54m         Normal    SuccessfulCreate      replicaset/openshift-gitops-operator-controller-manager-7fdfd5944c   Created pod: openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz
54m         Normal    Created               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz    Created container: manager
54m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz    Container image "registry.redhat.io/openshift-gitops-1/gitops-rhel9-operator@sha256:73b844f2dd5f2e2749c66024801ed59539aa363aa18052018b8b80ede0ea544e" already present on machine
54m         Normal    AddedInterface        pod/openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz    Add eth0 [10.133.0.52/23] from ovn-kubernetes
53m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-fc7df578-wmwr5      Stopping container manager
53m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-fc7df578-wmwr5      Stopping container kube-rbac-proxy
53m         Normal    SuccessfulDelete      replicaset/openshift-gitops-operator-controller-manager-fc7df578     Deleted pod: openshift-gitops-operator-controller-manager-fc7df578-wmwr5
53m         Normal    LeaderElection        lease/2b63967d.openshift.io                                          openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz_c868c130-e5a2-4cba-86b0-bcda3f374813 became leader
53m         Normal    SuccessfulCreate      replicaset/openshift-gitops-operator-controller-manager-fc7df578     Created pod: openshift-gitops-operator-controller-manager-fc7df578-ggftr
53m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-fc7df578-ggftr      Container image "registry.redhat.io/openshift-gitops-1/gitops-rhel9-operator@sha256:73b844f2dd5f2e2749c66024801ed59539aa363aa18052018b8b80ede0ea544e" already present on machine
53m         Normal    AddedInterface        pod/openshift-gitops-operator-controller-manager-fc7df578-ggftr      Add eth0 [10.133.0.56/23] from ovn-kubernetes
53m         Normal    Started               pod/openshift-gitops-operator-controller-manager-fc7df578-ggftr      Started container kube-rbac-proxy
53m         Normal    Created               pod/openshift-gitops-operator-controller-manager-fc7df578-ggftr      Created container: kube-rbac-proxy
53m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-fc7df578-ggftr      Container image "registry.redhat.io/openshift4/ose-kube-rbac-proxy-rhel9@sha256:b473bb5efee9fb78c1e654ef94da9213e29a8eccfda2e8359b7c1b6b4049b554" already present on machine
53m         Normal    Started               pod/openshift-gitops-operator-controller-manager-fc7df578-ggftr      Started container manager
